hotel_id,city_id,name,rating,description,url,city,latitude,longitude
80,7,l'esprit d'EMMA,9.8,"Modern Comforts: l'esprit d'EMMA in Amiens offers a recently renovated apartment with a sun terrace and free WiFi. The property includes a elevator, family rooms, and free on-site private parking.

Convenient Amenities: Guests can enjoy a fully equipped kitchen with a coffee machine, dining table, and outdoor furniture. Additional amenities include a washing machine, private bathroom, and a work desk.

Prime Location: Located 15 minutes from Amiens Train Station and 1312 feet from The Floating Gardens Park, the apartment provides easy access to local attractions. Beauvais–Tillé Airport is 43 mi away.",https://www.booking.com/hotel/fr/esprit-d-emma.html?aid=304142&label=gen173nr-10CAQoggJCFXNlYXJjaF9hbWllbnMsIGZyYW5jZUgzWARoO4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCxdSU1AbAAgHSAiRlMTFhYzFkOS1hMzJkLTQ1ZGMtOTAzYi0xMTc2MzBjNmMwNTHYAgHgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=0e961c227fc206d7&srepoch=1787112007&from=searchresults,Amiens,49.8996927,2.3125332
94,1,Appart Standing - La Coque d'Or - Mont-St-Michel,9.6,"Modern Comforts: Appart Standing - La Coque d'Or in Mont Saint Michel offers a recently renovated apartment with free WiFi, a kitchenette, and a living room. The property includes a private entrance and a dining area.

Convenient Facilities: Guests benefit from private check-in and check-out services, a shuttle, a coffee shop, family rooms, and luggage storage. Additional amenities include streaming services, a TV, and a walk-in shower.

Prime Location: Located a two-minute walk from Mont Saint Michel Abbey and just steps from Mont Saint-Michel, the apartment provides easy access to local attractions. Nearby points of interest include the Scriptorial of Avranches and Port of Houle. Rennes–Saint-Jacques Airport is about 58 miles away.",https://www.booking.com/hotel/fr/la-coque-d-or.html?aid=304142&label=gen173nr-10CAQoggJCIHNlYXJjaF9tb250IHNhaW50IG1pY2hlbCwgZnJhbmNlSDNYBGg7iAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALO1JTUBsACAdICJDNjOTBjZDc1LTg4NmYtNGViZC05NzEzLTJkMGRmMjk0NzQ2NtgCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=8fbf1c270d1100b0&srepoch=1787112016&from=searchresults,Mont Saint Michel,48.6354874,-1.5101555
79,7,Elegant 120m2-Face cathedrale-6 pers-free Parking,9.5,"Spacious and Modern: Elegant 120m2-Face cathedrale-6 pers-free Parking in Amiens offers a spacious, recently renovated apartment with two bedrooms and a living room. The property features family rooms, ensuring comfort for all guests.

Modern Amenities: Guests enjoy free WiFi, a bar, and streaming services. The apartment includes a fully equipped kitchen with a coffee machine, microwave, and dishwasher. Additional amenities include a washing machine, work desk, and soundproofing.

Prime Location: Located about 14 minutes from Amiens Train Station and around 0.9 miles from The Floating Gardens Park, the apartment provides easy access to local attractions. Nearby points include the Tribunal de Grande Instance of Amiens and Zénith d'Amiens.

Highly Rated by Guests: Guests appreciate the spaciousness, modern amenities, and free on-site private parking, making it a highly rated choice in Amiens.",https://www.booking.com/hotel/fr/splendid-cathedral-amiens-duplex-hyper-centre.html?aid=304142&label=gen173nr-10CAQoggJCFXNlYXJjaF9hbWllbnMsIGZyYW5jZUgzWARoO4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCxdSU1AbAAgHSAiRlMTFhYzFkOS1hMzJkLTQ1ZGMtOTAzYi0xMTc2MzBjNmMwNTHYAgHgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=0e961c227fc206d7&srepoch=1787112007&from=searchresults,Amiens,49.8953253054515,2.29772850807481
13,5,Le petit Rouen,9.5,"Comfortable Living: Le petit Rouen in Rouen offers a one-bedroom apartment with a living room and a fully equipped kitchen. The property includes a washing machine and TV for added convenience.

Essential Facilities: Guests enjoy free WiFi, ensuring connectivity during their stay. The apartment also features a bathroom with modern amenities.

Prime Location: Located about 53 miles from Beauvais–Tillé Airport, the apartment is a short walk from Notre-Dame Cathedral (13 minutes) and Rouen Rive Droite Station (less than 0.6 miles). Nearby attractions include the Rouen Museum of Fine Arts (a nine-minute walk) and an ice-skating rink.",https://www.booking.com/hotel/fr/le-petit-rouen-rouen.html?aid=304142&label=gen173nr-10CAQoggJCFHNlYXJjaF9yb3VlbiwgZnJhbmNlSDNYBGg7iAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKr1JTUBsACAdICJDg4NGE0MjYzLTQzOGYtNDUzMy1iMTEzLTUzNzZlNDM5Y2I4Y9gCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=33df1c15eae80044&srepoch=1787111981&from=searchresults,Rouen,49.4473937,1.0847565
100,1,Résidence Beauvoir le Mont-Saint-Michel,9.4,"Located 2.7 mi from Mont Saint Michel Abbey, Résidence Beauvoir le Mont-Saint-Michel offers self-catered holiday homes with access to a terrace, as well as a tennis court and a BBQ facilities. Free WiFi is offered.

The units provide views of the garden and come with a seating area, a washing machine, a fully equipped kitchen with a dishwasher, and a private bathroom with a hair dryer. An oven and coffee machine are also available.

At the holiday homes guests are welcome to take advantage of an indoor swimming pool.

A garden and a children's playground are provided at the property.

The nearest airport is Dinard Bretagne Airport, 34 mi from the property.",https://www.booking.com/hotel/fr/residence-beauvoir-le-mont-saint-michel.html?aid=304142&label=gen173nr-10CAQoggJCIHNlYXJjaF9tb250IHNhaW50IG1pY2hlbCwgZnJhbmNlSDNYBGg7iAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALO1JTUBsACAdICJDNjOTBjZDc1LTg4NmYtNGViZC05NzEzLTJkMGRmMjk0NzQ2NtgCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=8fbf1c270d1100b0&srepoch=1787112016&from=searchresults,Mont Saint Michel,48.597878453626,-1.508418656869
15,5,Joli appart cosy tout confort avec parking gratuit,9.4,"Comfortable Living Space: Joli appart cozy tout confort avec parking gratuit in Rouen offers a one-bedroom apartment with a sun terrace and free WiFi. The property includes a kitchenette, dining area, and parquet floors.

Modern Amenities: Guests can enjoy a terrace, outdoor seating area, and free on-site private parking. The apartment features a work desk, TV, and a quiet street view.

Prime Location: Located 14 minutes from Gare de Rouen Rive Droite and 0.9 mi from Noter-Dame Cathedral of Rouen. Nearby attractions include Musee des Beaux-Arts de Rouen and Rouen Kindarena Sports Hall. Beauvais–Tillé Airport is 52 mi away.

Local Activities: The surrounding area offers an ice-skating rink and boating opportunities.",https://www.booking.com/hotel/fr/joli-appart-cosy-tout-confort-avec-parking-gratuit.html?aid=304142&label=gen173nr-10CAQoggJCFHNlYXJjaF9yb3VlbiwgZnJhbmNlSDNYBGg7iAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKr1JTUBsACAdICJDg4NGE0MjYzLTQzOGYtNDUzMy1iMTEzLTUzNzZlNDM5Y2I4Y9gCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=33df1c15eae80044&srepoch=1787111981&from=searchresults,Rouen,49.4508483235437,1.10450794267512
10,5,Duplex vieux marché quartier historique wifi/parking,9.4,"Spacious Accommodations: Duplex vieux marché quartier historique wifi/parking in Rouen offers a spacious apartment with two bedrooms and two bathrooms. The property features parquet floors and a terrace with city views.

Modern Amenities: Guests enjoy free WiFi, air-conditioning, and a fully equipped kitchen with a fireplace. Additional amenities include a work desk, TV, and a washing machine.

Prime Location: Located in the city center, the apartment is an 8-minute walk from Noter-Dame Cathedral and less than 0.6 mi from Gare de Rouen Rive Droite. Nearby attractions include the Musee des Beaux-Arts de Rouen and Deauville - Normandie Airport, 53 mi away.

Guest Satisfaction: Highly rated for its convenient location, terrace, and room cleanliness.",https://www.booking.com/hotel/fr/duplex-vieux-marche-quartier-historique-wifi-parking.html?aid=304142&label=gen173nr-10CAQoggJCFHNlYXJjaF9yb3VlbiwgZnJhbmNlSDNYBGg7iAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKr1JTUBsACAdICJDg4NGE0MjYzLTQzOGYtNDUzMy1iMTEzLTUzNzZlNDM5Y2I4Y9gCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=33df1c15eae80044&srepoch=1787111981&from=searchresults,Rouen,49.4440668,1.0869848
11,5,Le Majolique Nice and Cozy Apartment,9.4,"Modern Comforts: Le Majolique Nice and Cozy Apartment in Rouen offers a recently renovated apartment with a garden and terrace. Free WiFi is available throughout the property.

Convenient Facilities: Guests can enjoy free on-site private parking, a balcony, washing machine, and a fully equipped kitchen with a coffee machine and dishwasher. Additional amenities include a walk-in shower, parquet floors, and a TV.

Prime Location: Located 12 minutes from Voltaire Station and 0.7 mi from Noter-Dame Cathedral, the apartment is near attractions such as the Musee des Beaux-Arts de Rouen (1.1 mi) and Rouen Expo (3.1 mi). Beauvais–Tillé Airport is 53 mi away.

Local Activities: The surrounding area features an ice-skating rink and boating opportunities, providing ample leisure options for guests.",https://www.booking.com/hotel/fr/le-majolique-nice-and-cozy-apartment.html?aid=304142&label=gen173nr-10CAQoggJCFHNlYXJjaF9yb3VlbiwgZnJhbmNlSDNYBGg7iAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKr1JTUBsACAdICJDg4NGE0MjYzLTQzOGYtNDUzMy1iMTEzLTUzNzZlNDM5Y2I4Y9gCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=33df1c15eae80044&srepoch=1787111981&from=searchresults,Rouen,49.4313713,1.0889775
63,7,Ginkgo Maison d'hôtes,9.3,"Historic Setting: Ginkgo Maison d'hôtes in Amiens offers a unique stay within a historic building. The property features parquet floors, a lounge, and a coffee shop, providing a comfortable and charming environment.

Modern Amenities: Guests enjoy free WiFi, a lounge, and a child-friendly buffet. Additional facilities include an electric vehicle charging station, bicycle parking, and full-day security. The property also offers a daily housekeeping service and luggage storage.

Comfortable Accommodations: Rooms include private bathrooms with free toiletries, tea and coffee makers, and soundproofing. Additional amenities feature work desks, sofa beds, and city views.

Local Attractions: Amiens Train Station is a 15-minute walk away, while The Floating Gardens Park lies about 1.2 miles from the property. Other nearby points of interest include the Tribunal de Grande Instance of Amiens and Zénith d'Amiens. Beauvais–Tillé Airport is about 40 miles away.",https://www.booking.com/hotel/fr/ginkgo-maison-d-39-hotes.html?aid=304142&label=gen173nr-10CAQoggJCFXNlYXJjaF9hbWllbnMsIGZyYW5jZUgzWARoO4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCxdSU1AbAAgHSAiRlMTFhYzFkOS1hMzJkLTQ1ZGMtOTAzYi0xMTc2MzBjNmMwNTHYAgHgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=0e961c227fc206d7&srepoch=1787112007&from=searchresults,Amiens,49.887125,2.295143
19,5,Le Petit Horloge,9.3,"Central Location: Le Petit Horloge in Rouen offers a central setting with Noter-Dame Cathedral just a few steps away. Gare de Rouen Rive Droite is a 13-minute walk, while Musee des Beaux-Arts de Rouen lies 1640 feet nearby.

Comfortable Amenities: Guests enjoy a sun terrace and free WiFi. The apartment features two bedrooms, a living room, and a balcony with city views. Additional amenities include a washing machine, kitchen, and private check-in and check-out services.

Local Attractions: Nearby attractions include Voltaire Station at 1.9 mi and an ice-skating rink within 5 mi. Beauvais–Tillé Airport is 52 mi from the property.

Guest Satisfaction: Highly rated by guests for its central location, convenient services, and friendly host.",https://www.booking.com/hotel/fr/le-petit-horloge-rouen.html?aid=304142&label=gen173nr-10CAQoggJCFHNlYXJjaF9yb3VlbiwgZnJhbmNlSDNYBGg7iAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKr1JTUBsACAdICJDg4NGE0MjYzLTQzOGYtNDUzMy1iMTEzLTUzNzZlNDM5Y2I4Y9gCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=33df1c15eae80044&srepoch=1787111981&from=searchresults,Rouen,49.4413794,1.0929714
